Date,Account_Number,Amount,Description
2024-12-06,DHYA10563008373525,875.37,education
2024-06-26,MGLD53451240567561,1805.24,health_and_fitness
2024-04-23,PTVC39384283728546,1373.16,subscriptions
2024-04-23,IGKK81623378751705,316.54,groceries
2024-07-14,YMRD67280615132470,1521.94,dining
2024-04-23,HSSB65752549009754,1431.96,dining
2024-02-24,PBMA68701759195790,1069.0,donations
2024-02-06,ZDAA75765378142154,1706.38,misc
2024-04-02,RKRK29605519453988,352.85,groceries
2024-12-04,CHMH79096406860841,299.31,business
2024-06-12,TWDW68449883411517,1435.97,subscriptions
2024-11-15,YEMM17200692444280,881.47,shopping
2024-09-30,GSUV17330773920623,995.06,health_and_fitness
2024-12-02,YEVT23306935155611,282.56,education
2024-02-08,IPIU71141501803398,615.39,home_improvement
2024-07-13,TCYV10038409742147,615.51,transportation
2024-11-24,JJVN29172042973660,1822.38,health_and_fitness
2024-01-21,CFUB15611283859304,467.01,travel
2024-06-10,WXLR45846073315722,434.97,groceries
2024-05-12,ZWMT01191720552489,411.45,travel
2024-07-01,WSVI65606303551591,1580.3,utilities
2024-05-30,POMZ85376685333348,744.34,health_and_fitness
2024-05-06,KPZM42895188024709,625.84,groceries
2024-06-14,CIKC49950789999701,663.8,travel
2024-05-16,PHNU82922896878323,1223.25,insurance
2024-06-18,WEMW03219385269826,1513.97,home_improvement
2024-03-03,ZOGF26569417633423,865.68,shopping
2024-07-22,RJZW60866015576398,119.12,shopping
2024-08-04,PNNJ45233050229457,635.16,transportation
2024-02-21,IBJQ63175286245952,378.32,transportation
2024-10-04,NABK55573717413478,1076.25,utilities
2024-09-15,MCKT19747873021885,1596.71,health_and_fitness
2024-06-26,ZLGB43275544064664,335.43,donations
2024-09-29,VFTC81922760638287,1212.51,home_improvement
2024-08-18,LJTT39290574836844,1341.42,home_improvement
2024-04-01,CIKV39243773934274,1079.62,donations
2024-08-16,SBVI45728652470349,284.43,misc
2024-05-11,LDON25549168795461,1010.71,travel
2024-06-05,MOEJ67861291989025,1692.13,utilities
2024-10-18,AAAC10529590917038,57.62,travel
2024-06-20,RXOF16209971834036,342.28,education
2024-05-25,SMKX78902848999411,1344.24,transportation
2024-11-02,XRIJ76834236531255,13.89,misc
2024-04-28,RKIA03528757089790,1726.45,education
2024-12-13,SBYZ79548499200612,1360.98,transportation
2024-03-25,HGRJ40740001374632,56.26,entertainment
2024-06-10,TVEW26264180037067,1160.5,subscriptions
2024-06-14,PMZJ85617142604361,717.73,shopping
2024-07-16,EJIA65636718141983,1246.88,health_and_fitness
2024-03-04,LIMB39648004354526,1488.91,business
2024-08-12,JSYF36115608391509,332.38,entertainment
2024-10-16,POYO89200359032508,1423.83,groceries
2024-12-03,NYDI55651187874792,1104.03,utilities
2024-09-09,DFZC30511627177658,779.45,donations
2024-04-20,CWSC78979006122000,479.89,entertainment
2024-11-15,NPLC83395335927628,1636.01,home_improvement
2024-10-11,GLEP01715011173246,1265.82,home_improvement
2024-09-30,ZYHK42087561588421,1720.78,insurance
2024-07-11,HAHT23860277523460,613.68,transportation
2024-10-04,HRDD41454729795402,669.67,travel
2024-05-26,FGGB19037208447369,1682.39,education
2024-01-04,YMFX15934014550219,261.78,donations
2023-12-29,LQXR99910228970474,918.26,business
2024-01-27,GWSS42860869108493,1505.52,education
2024-05-10,TXFQ49236323774834,59.54,entertainment
2024-06-10,SYEE58537313925078,296.14,travel
2024-05-24,VZSR57091910029308,1924.97,misc
2024-04-19,ESXC61335270971173,495.47,entertainment
2024-11-14,NCJV93833096132204,896.18,travel
2023-12-21,TSZL14472694843780,1032.92,entertainment
2024-09-15,FLZN22391429831122,511.06,insurance
2024-07-31,DHWB13792251496429,475.12,groceries
2024-06-16,CUIK70841275623405,1489.32,travel
2024-06-30,ORTG78767827000311,1747.13,travel
2024-10-10,WCIL00903394120269,20.01,education
2024-11-08,VVTV26538286060710,998.17,insurance
2024-08-10,UFDR94060124250476,1176.47,education
2024-02-20,HFDN09269388670747,115.88,utilities
2024-05-05,NPER62449950649760,448.66,dining
2024-09-05,WWTZ99277345398074,857.72,insurance
2024-08-11,UKDP27896217671892,1433.82,education
2024-10-03,LVIB45087958395400,1694.4,utilities
2024-06-30,SHPD23468663169455,1423.56,transportation
2024-04-12,UMYF08592762146298,1592.75,dining
2024-01-07,POIW79776819818629,752.29,health_and_fitness
2024-11-17,MDRF78754674841290,1016.8,utilities
2024-03-12,YFRY78022555060242,1977.14,groceries
2024-02-24,GDNP10524186297482,444.22,donations
2024-04-01,RUPM11101720536212,1525.01,education
2024-07-19,XBNG57481126257511,416.74,donations
2024-04-04,ZPFR06170322081370,1306.04,health_and_fitness
2024-09-09,PDJF03497710068350,1525.05,travel
2024-01-04,XCAX46688959059020,1931.57,donations
2024-07-11,YTSM37096649250438,778.17,subscriptions
2024-08-22,JMMY97331737168851,295.77,entertainment
2023-12-24,SDEU38167547236636,692.06,insurance
2024-05-10,AAVL93827274958322,1453.95,travel
2024-03-22,XMGA31769997874107,1217.34,groceries
2024-04-21,LHEN61829933243511,1603.23,home_improvement
2024-04-05,NLEX01070621189135,625.45,shopping
2024-07-20,LMLW81471595930520,1880.81,subscriptions
2024-03-14,AVPQ04127673483988,1678.86,donations
2024-01-29,CESS96331899073081,1642.49,home_improvement
2024-03-10,YGYY09833107409010,1572.95,business
2024-04-15,JXGI89538650635378,932.81,business
2024-09-06,DNOB59176572732041,679.02,entertainment
2024-05-25,JECG26143604067084,930.89,dining
2024-06-07,DMVH76354431685817,489.81,health_and_fitness
2024-02-04,PGXS44467886933819,266.65,health_and_fitness
2024-11-13,ABFI02620766694966,1917.75,dining
2024-11-15,PDDJ89873879559951,415.29,donations
2024-06-16,INIA94376004111271,978.51,subscriptions
2024-08-22,IYDM95546675021768,559.14,education
2024-10-19,IAVH74606714620059,1125.06,donations
2024-04-21,PJHU58015628802675,739.02,subscriptions
2024-01-26,SXAN70060089380182,351.15,transportation
2024-08-20,VYQQ97322176674885,518.21,business
2024-10-16,GBBC14009104521909,1730.88,entertainment
2024-09-24,NJJT48268859813300,749.99,insurance
2024-02-22,UXMJ24776958206401,1433.64,health_and_fitness
2024-11-29,OKCA72718866169021,909.53,donations
2024-12-04,ZJPZ77311162529940,7.29,transportation
2024-05-14,OMEZ59871892502979,1361.65,entertainment
2024-09-04,YVOC48520405560308,1888.89,education
2024-01-25,BGLD34400846594223,402.32,transportation
2024-03-24,IAGL85743627214096,966.13,education
2024-11-02,TSID68034687190258,929.95,business
2024-01-15,UYZE77761439808685,696.0,travel
2024-03-31,SRFN08673222205884,1087.18,utilities
2024-10-24,ERGJ56778711346645,228.02,misc
2024-07-31,TJGU35257574489134,1929.22,dining
2024-05-15,YIQW10587309140366,468.7,dining
2024-10-06,SIZS82367214976562,991.8,insurance
2024-08-04,AAXQ75721821210365,1534.26,education
2024-02-07,RAMO19461706394667,458.73,shopping
2024-05-13,YMXC79506633256190,1797.9,insurance
2024-05-10,VWOW58700528415341,1715.65,home_improvement
2024-01-05,SQVQ33240451918149,99.29,dining
2024-11-05,AUZI99250629960037,1175.69,transportation
2024-01-20,TUNF75065331520659,1152.5,groceries
2024-02-19,NENJ64373051065472,1660.19,groceries
2024-08-02,JTMX79248540153127,969.38,health_and_fitness
2024-10-09,USTA42488454965816,1952.64,subscriptions
2024-11-13,ISGN67063068473759,1811.62,shopping
2024-06-10,LQBR09322398307680,460.62,education
2024-08-09,SICT09390842612057,1965.12,travel
2024-02-12,GNWG11305158887352,966.85,home_improvement
2024-02-24,VSWK57895905559095,1554.12,misc
2024-07-06,RZGS35020144902948,1677.5,groceries
2024-05-03,YEMA02440828602669,1256.66,health_and_fitness
2024-09-15,QQNA58615028914535,333.51,business
2024-02-23,FCQS39415027098939,980.8,dining
2024-08-06,HUXF87578916777805,1068.28,home_improvement
2024-03-20,CBLB82593996445611,329.42,shopping
2024-04-19,EDRE39955174337154,752.95,donations
2024-09-29,MKQM08719067808973,1558.5,shopping
2024-03-05,BNIH91873660040699,1941.3,donations
2024-04-05,CNND52072740899745,673.69,insurance
2024-07-15,JSQJ89949148377615,1444.34,education
2024-08-14,FHUY60961467584959,333.23,insurance
2024-07-02,HLDH61071025471648,1661.85,education
2024-11-04,CUZH90776487218652,1671.2,health_and_fitness
2024-09-05,BQCX73056337177545,283.6,home_improvement
2024-09-24,GIIJ74698050316529,1481.3,shopping
2024-08-04,EREU49044999695028,169.85,entertainment
2024-02-07,QLAF40390683409998,354.42,education
2024-03-07,XZVG26852981783072,1645.42,utilities
2024-08-13,XTUM53950151584151,221.21,dining
2024-05-26,UEJR81341923450608,743.7,business
2024-06-15,EGZC03597984315275,368.9,insurance
2024-07-19,RMKR34448858331697,1599.14,shopping
2024-03-04,XPTM16499979870111,289.71,misc
2024-09-20,ETTF44019868493586,1248.97,misc
2024-08-25,PUIY87440471318387,72.29,subscriptions
2024-09-23,ZVQI57647813650588,1575.61,subscriptions
2024-06-29,ATDI05430766618949,1063.32,travel
2024-08-22,OYBP43285273322506,400.24,business
2024-02-09,ZBPE58088623021019,1750.52,insurance
2024-09-09,DPIT78563262285019,522.14,subscriptions
2024-04-30,SEXQ27899032731727,1701.71,dining
2024-01-17,XVAK62467994583521,852.43,dining
2024-10-21,AWAG33164407491158,347.89,entertainment
2024-08-07,YXYG03877556577379,1811.46,dining
2024-04-18,AFTX24259242951676,1374.35,donations
2024-01-05,WPJX71022022893408,282.63,health_and_fitness
2024-02-02,NZIL37702916924911,450.21,utilities
2024-01-22,LUUZ21918352428538,1220.69,dining
2024-03-17,BRWS89582712142265,1248.21,transportation
2024-02-11,ENQP73229078448155,1740.37,dining
2024-09-13,UIWC09718601997673,1226.64,education
2024-11-09,AXOG09663180662493,1138.44,insurance
2024-03-20,SGKE30361781412823,1501.32,entertainment
2024-05-04,BENI73417978293289,785.7,insurance
2024-03-17,EPIT81464730684954,1554.88,home_improvement
2024-07-06,MXVB61178089853204,1634.64,dining
2023-12-21,RQQN76327859703868,151.2,transportation
2024-07-25,JCBQ63599003863982,112.07,travel
2024-06-03,VUNO50954677272069,198.04,donations
2024-08-29,RXQZ87682972843016,1965.58,donations
2024-10-25,EEGU37526417294265,378.15,health_and_fitness
2024-12-10,XKUO78000222861108,651.85,transportation
2024-05-14,GDPX73353160062329,1336.58,travel
2024-04-19,MEAQ69479183773873,977.59,business
2024-05-18,CPNJ89620512897375,1808.16,home_improvement
2024-10-23,SNMB88691722320318,1546.79,health_and_fitness
2024-07-28,YTJQ06495059894018,1059.98,home_improvement
2024-10-03,QNIZ12698498239606,919.81,education
2024-09-02,JBNG77375954881323,1600.09,transportation
2024-05-27,URBC12198601667372,1984.0,home_improvement
2024-10-19,VQWJ76203745242536,1363.69,groceries
2024-10-01,BXPH05550986850136,519.22,donations
2024-01-31,QTNZ23632962670637,1057.14,entertainment
2024-04-23,NKBE11163067169590,1371.1,donations
2024-08-30,WRAH73856572432764,1001.74,shopping
2024-05-30,AMSA30949240762026,491.61,insurance
2024-10-14,JRNK65625447330572,1574.13,dining
2024-03-06,DZOL72010019606174,834.29,subscriptions
2024-11-22,OOIW83765116879964,244.29,health_and_fitness
2024-06-17,YKRG43236068637600,961.76,utilities
2024-12-06,IVIR05489767040826,865.09,dining
2024-04-14,CIRR89326450505228,1373.84,health_and_fitness
2024-06-04,IDDA59073735331179,339.26,groceries
2024-12-07,VJBO86064370583094,1429.19,travel
2024-03-13,RPXB69800075543971,1057.68,transportation
2024-07-30,HQWE16891152610856,1129.78,home_improvement
2023-12-25,VEVI66604761011357,97.04,transportation
2024-12-13,OSAO76936358076463,1792.65,business
2024-01-14,XJFG03708703799479,630.6,entertainment
2024-02-08,TCOD71128823330243,1075.62,education
2024-03-20,IEEM42368661372617,1209.4,business
2024-07-01,ZUZX58236083513018,1423.65,education
2024-06-27,DLDR96031734211732,1471.65,shopping
2024-07-14,ALCU18718164630728,460.88,shopping
2024-11-13,LJNS20619613865167,1890.38,shopping
2024-08-14,KHUZ87514135675279,1720.84,insurance
2024-02-07,JHOR05380176005644,319.19,utilities
2024-11-02,GZLS31657703271775,1041.42,subscriptions
2024-02-19,PDTK37027807716582,99.72,transportation
2024-06-24,UENK77555840275174,1886.7,misc
2024-04-22,YGOM80789387527838,1629.77,utilities
2024-05-24,RATQ59256473620116,1034.04,business
2024-03-24,XIKZ85720228849033,1148.78,insurance
2024-08-21,VMQK79520595848005,736.34,misc
2024-04-23,JATU37287100743254,1633.4,utilities
2024-12-01,TUTW86676124874800,1.71,business
2024-01-23,SUCZ00792272432433,1826.27,entertainment
2024-07-06,DFLR15360978223500,65.16,entertainment
2023-12-29,FLRP56001904328474,1147.46,donations
2024-05-16,CNOH02328190385140,1072.2,education
2024-09-10,LYUV15369286498418,1070.71,entertainment
2024-06-09,TIMM08373528382002,204.52,shopping
2024-11-11,UKSM87117323240919,782.02,misc
2024-07-07,ECDS38646664707652,719.89,insurance
2024-12-20,DZGP36329624160598,308.34,travel
2024-09-21,FLDZ33091425039039,1819.12,transportation
2024-04-13,ZMVF83015185851207,125.33,shopping
2024-03-12,PEFS22199048489185,311.55,insurance
2024-06-06,DWKF25066155124747,1151.54,education
2024-11-07,TAKH92837535793570,1050.46,shopping
2024-06-23,ADEV94231424110955,1856.25,shopping
2024-10-06,DSCT08099987644738,737.17,subscriptions
2024-01-24,YCXQ24698571799754,787.51,home_improvement
2024-09-11,CRNA55118099391841,278.5,dining
2024-06-10,FFQX10738747723882,1961.89,donations
2024-04-30,PEJU49646206691148,17.89,dining
2024-11-21,WXXQ82218025736934,318.52,subscriptions
2024-06-24,NDLY17157539543695,911.57,groceries
2024-08-12,BCGK02927287271238,49.4,transportation
2024-06-27,IZZI02726439675087,1053.82,transportation
2023-12-21,QHKE53417927464085,546.95,shopping
2024-10-22,IEZQ20186292747221,1440.79,insurance
2024-12-11,LZOY49778205261387,58.35,subscriptions
2024-10-17,TFHN02225387878958,1843.13,groceries
2024-10-20,XQJT24472245634652,793.14,business
2024-10-12,VPWV91225157485210,601.61,donations
2024-03-22,LAJM09611142601900,1151.56,dining
2024-04-04,MUEV09654123062431,1909.88,insurance
2024-06-24,XLQQ53014415530355,292.82,misc
2024-07-19,LYNA54314777231451,1339.68,insurance
2024-08-25,KSNU65683516296931,861.4,misc
2024-10-16,OEES53789943602826,1536.99,dining
2024-02-23,EQQJ13953415036408,754.66,dining
2024-02-07,SWDM97082378901057,1558.44,dining
2024-08-09,BDPB03673882832608,396.35,misc
2024-12-10,CGPX19756170571054,1076.89,home_improvement
2024-03-09,EHAU16001634253254,1293.05,health_and_fitness
2024-07-11,MQFW57716772617571,409.32,business
2024-01-03,GYCT21902745439539,1481.53,shopping
2024-01-04,OSIV34022343944795,26.04,insurance
2024-08-17,CWZT03451368092698,1424.19,health_and_fitness
2024-06-22,CZTW45751123689840,1914.42,education
2024-08-10,UQQF25460236410599,788.86,utilities
2024-05-10,CGTF42119408287930,744.67,home_improvement
2023-12-21,EBSI67599514998800,1999.02,entertainment
2024-02-26,PROS69716053304262,1454.49,education
2024-08-08,ETUE12644173347995,1526.59,home_improvement
2024-09-07,AFLS75781901145847,1617.1,travel
2024-09-22,KZTA99520172142735,907.45,donations
2024-06-22,QQZX55920990289668,148.69,entertainment
2024-03-12,FBFC81359303196451,1680.03,travel
2024-06-09,VGFO03770348395501,1662.13,entertainment
2024-06-07,REMT38303451992039,1842.02,home_improvement
2024-03-02,SJXO75231786022665,1465.1,misc
2024-12-14,MPCN76237032961514,1051.45,groceries
2024-06-13,FSRA94547210679743,363.02,health_and_fitness
2024-01-26,DCNQ09824799700218,1396.55,travel
2024-07-03,PKNF93008411576141,888.29,subscriptions
2024-10-09,JMOC67802219220288,1043.96,home_improvement
2024-08-17,MFNV33312013251542,1697.57,dining
2024-08-22,NXRO49126636990303,1406.98,shopping
2024-11-13,CMJD12868325878171,1304.3,travel
2024-11-04,ZIBI09730270670201,265.65,donations
2024-11-03,ZAUZ07901150303238,1596.04,entertainment
2024-07-08,ELFJ21247442185191,26.4,subscriptions
2024-03-25,GBHM98795712758984,392.29,transportation
2024-08-14,BGPG56661119168462,729.61,misc
2024-06-17,RRMS76667565427699,1035.73,education
2024-02-25,LOTG10725116829479,341.8,utilities
2024-04-28,MKSJ11658322360614,365.55,misc
2024-08-12,JTIJ21528635213696,1031.19,business
2024-04-28,VRNK34100690356412,605.43,subscriptions
2023-12-30,TGCH15102825236960,1303.26,shopping
2024-05-16,GDDY34727114253564,688.99,entertainment
2024-03-15,SWSG96290979375481,1462.22,health_and_fitness
2024-07-28,VDKJ28523416775596,1970.8,subscriptions
2024-02-29,JHRD48233202707006,255.44,dining
2024-11-12,DLLP62742506766969,1447.65,dining
2024-01-04,BUKF39420212836018,1718.54,health_and_fitness
2024-09-06,XGRB77257441571661,1519.02,shopping
2024-09-03,VORB28307739997306,1057.82,business
2024-04-27,SHXX21803289263890,1926.32,home_improvement
2024-04-08,RVOH15494907588073,1241.81,transportation
2024-01-07,DKGW55279914016451,1650.26,dining
2024-11-02,XENU76266363731274,1390.39,education
2024-09-18,ISJX41333321775026,1649.1,subscriptions
2024-05-19,SODB24049006379082,1145.22,health_and_fitness
2024-10-03,RDSN92878379068148,1284.95,misc
2024-01-31,DPQL00631750068372,1083.11,health_and_fitness
2024-10-17,KCJG20767225988503,1896.97,shopping
2024-11-05,IMJG43076610149385,1063.05,shopping
2024-06-12,CREH44180083753310,1504.89,health_and_fitness
2024-04-17,EWJM69754252387497,1167.61,travel
2024-11-20,RTMF19429903116380,1257.43,subscriptions
2024-11-11,GPDL65248305107619,1275.25,education
2024-03-09,QPLI15412595264564,1342.11,shopping
2024-05-14,KJJP72086264107683,768.14,dining
2024-04-13,EYOW87826975778672,1846.66,education
2024-10-07,ULYT40792432242195,434.4,education
2024-08-12,UMNQ55211816049390,910.28,shopping
2024-07-09,DRAL99032443603224,1592.26,donations
2024-03-27,LRNS30031406535264,210.99,subscriptions
2024-11-01,XVCW22145957273110,1642.64,entertainment
2024-05-23,VIPH67885819006089,530.81,travel
2024-11-07,KSDR75091832206583,1440.9,utilities
2023-12-23,MJNT17236853111300,1018.3,transportation
2024-09-15,ELKZ61740467655851,22.3,education
2024-09-24,UVJG27099474304593,801.24,health_and_fitness
2024-07-19,ICTU61003041674058,1984.95,shopping
2024-05-08,PBTD03887201372094,546.81,subscriptions
2024-10-16,UORM76687480088186,404.34,transportation
2024-10-16,YLMJ42397454586010,1598.52,transportation
2024-11-18,CBPU49427974476103,1199.87,subscriptions
2024-08-24,NATX10094713942180,1091.18,education
2024-03-15,VRSG37562168729544,540.29,donations
2024-11-26,EWTN27388928604766,1275.48,shopping
2024-04-30,JYVE58941352544942,980.31,groceries
2024-02-02,RXGY91326477235904,296.29,donations
2024-07-15,RFPT67614892559668,1505.92,entertainment
2024-10-12,HFFV51570632701685,240.25,business
2024-05-04,BATK24683238139631,796.19,dining
2024-04-04,ITGN80960364707991,746.26,donations
2024-10-02,YPEL92072425141836,489.33,business
2024-07-05,PGLX05204237019914,74.88,education
2024-03-25,VKFA97889742535372,409.14,subscriptions
2024-03-09,NBNH54873624850465,10.24,business
2024-04-09,PISB40673100160265,284.78,misc
2024-01-05,QSGF25511423096718,1988.57,health_and_fitness
2024-10-15,LBCZ94607431582255,1742.72,home_improvement
2024-10-06,QURK46183766108088,1104.44,transportation
2024-02-18,NPTY34099638751213,1721.04,utilities
2024-07-21,JPFB19177533137290,350.12,education
2024-03-24,MIBE85017565171346,459.72,shopping
2024-08-26,DWXV86762664025780,989.04,donations
2024-11-04,ZPXC03018100295742,1519.35,education
2024-08-31,JLKC00991505832039,1327.82,education
2024-02-18,EJWR16372082111987,389.97,home_improvement
2024-01-15,HRLS84631112600486,964.12,shopping
2024-01-10,WJMM15796913394071,1698.25,education
2024-04-23,MMMH36956489655929,202.9,misc
2024-08-21,OIYT13525140709767,263.08,shopping
2024-01-27,SOKG97455668032838,755.5,misc
2024-05-24,PMQO36868850387690,852.15,business
2024-06-08,XHFM98417708610353,1659.6,insurance
2024-04-09,BJHG59825169846777,1770.66,business
2024-03-14,FKUE76003123614638,306.74,entertainment
2024-02-23,KFVN73079573799235,386.88,insurance
2024-05-20,RUYA53685793562063,1868.76,insurance
2024-05-19,LWTP21309928562560,1030.76,transportation
2024-02-13,YELO22999600102819,1852.45,shopping
2024-08-17,DLTQ99183823608469,1284.54,transportation
2024-05-18,AZJU24199728517192,992.26,transportation
2024-05-03,NWUT39533453325250,1358.69,health_and_fitness
2024-03-12,KTOK27169983127399,1535.85,shopping
2024-09-07,KLWJ23986615014972,40.17,utilities
2024-06-16,GBFX16793531056356,944.0,travel
2024-05-24,WZBU91654304743555,216.57,donations
2024-04-06,HYPR89705118237306,1283.21,transportation
2024-12-01,EASS00516195296323,84.24,entertainment
2024-12-02,FSCF67971786522169,1825.1,insurance
2024-11-13,DCUE28377941145483,233.53,donations
2024-10-16,QXPA50121677506376,921.44,entertainment
2024-07-23,GXCD60826012451884,1197.65,travel
2024-05-06,NEUJ73378936350077,624.42,business
2024-04-12,PLYC03449948373402,1997.89,subscriptions
2024-05-18,NZDL83437431917513,1319.29,travel
2024-03-07,LDWV02169740447744,35.6,home_improvement
2024-04-24,JQZJ16790959620765,883.18,dining
2024-06-09,SQIT62746084771997,308.34,misc
2024-11-19,KOZZ31426222588545,766.24,dining
2024-06-29,SQYL78440830963718,37.49,transportation
2024-09-24,NWVA39024654575940,1318.88,health_and_fitness
2024-03-31,MAXL76211283169694,1570.96,dining
2024-09-23,MXIA31457198666629,364.12,home_improvement
2024-01-20,BPGY47697599286439,1693.43,utilities
2024-06-15,SOFM45213514004751,1948.78,shopping
2024-03-01,DPBP22099380275095,1318.91,dining
2024-04-30,TREN20524658220064,1218.95,utilities
2024-07-30,FXNR66962925199787,1789.96,transportation
2024-08-01,TCSE13871423265661,1799.35,shopping
2024-08-28,IFRU78200762985018,917.81,misc
2024-04-05,PQIH25747859704418,1734.8,education
2023-12-29,JXEX93504861539931,34.15,business
2024-07-14,DGCA93633217187614,44.32,misc
2024-04-10,JDXT20330453782297,995.64,misc
2024-04-01,NKNS40648493707226,282.78,health_and_fitness
2024-10-17,EQZN21106004485396,483.87,travel
2024-06-16,XPCV96185059467578,97.95,subscriptions
2024-09-15,CGJS11195021696419,1286.45,business
2024-08-11,KKYV95322939569196,40.14,education
2024-09-01,BNQH20617616726260,694.34,home_improvement
2024-03-13,VUPH84298738186073,1998.05,donations
2024-08-20,IBND51970473664877,614.35,entertainment
2024-06-07,ADRR73355589418738,730.45,health_and_fitness
2024-08-12,SRUH16555615638562,1139.37,home_improvement
2024-02-23,ACKL80869657528157,1003.37,entertainment
2024-07-10,ZZPH91055749821112,127.63,health_and_fitness
2024-05-10,DWIL38918659566173,1311.53,transportation
2024-07-26,JAIQ63435292248063,1586.59,insurance
2024-01-14,KJAY03398260713430,50.28,donations
2024-11-22,SMBN90113580768765,487.4,travel
2024-09-25,QOLU88547365936181,8.23,utilities
2024-01-11,GYTH21269523336879,1164.52,business
2024-08-09,JMOO23215212350050,472.63,donations
2024-09-04,ZJIP77750982366413,1451.35,entertainment
2024-08-09,KDPC02418964782881,63.49,subscriptions
2024-05-04,CAWM74004182986188,743.52,education
2024-03-06,PIUH51613590864592,1392.92,insurance
2024-07-21,MBUJ05861707675105,357.7,business
2024-03-22,KWVZ48378158526083,654.74,entertainment
2024-06-28,SQJH01351112070121,1357.3,entertainment
2024-08-09,XLFF92153627008376,1646.58,travel
2024-11-11,NBNS29765754928125,1771.33,home_improvement
2024-03-15,EEIW06145253206680,1471.08,entertainment
2024-03-21,INVJ94994311550765,1916.68,insurance
2024-02-17,AJJJ19884023067355,830.71,subscriptions
2024-03-20,QPFY99351565237383,1904.74,entertainment
2024-11-11,ISUV90554342958874,818.65,subscriptions
2024-01-15,UMIP46413809961797,354.62,insurance
2024-06-27,GPBN65757843072650,926.87,groceries
2024-08-29,KJKW17212193888821,878.85,education
2024-06-23,XARP51116917322177,1030.37,business
2024-07-18,XJLU82387149358310,697.52,utilities
2024-07-09,NHAV40281999602200,479.26,entertainment
2024-01-12,WVAX88938545993982,1903.01,dining
2024-10-28,SQEA27809118935162,729.65,home_improvement
2024-05-26,PZUY65560999089060,1236.96,shopping
2024-01-12,KSCT05155662431091,1185.67,health_and_fitness
2024-09-10,KCGY28520293531950,1550.57,groceries
2024-02-17,MTST98933154741620,1946.63,dining
2024-09-23,FDXU48036403859007,467.19,misc
2024-03-10,MTVH51142424651271,1754.02,dining
2024-10-08,PFSU86725164931393,1132.18,subscriptions
2024-04-08,NHJW35150982934902,471.43,travel
2024-03-29,EQKL95008159117185,1748.46,donations
2024-09-02,ECFN77932833286090,331.74,business
2024-09-13,MNNF59452890097843,235.37,dining
2024-04-02,XDFD57208718943480,1515.0,health_and_fitness
2024-08-16,RFPX89460760584262,1547.53,insurance
2024-08-02,NWXN32178284759504,619.08,home_improvement
2024-06-09,SRDL10001020958150,144.59,education
2024-03-31,YHKG78469808657078,125.81,transportation
2024-05-03,KNRH02117513332381,1431.49,misc
2024-08-04,NVAY93253655489934,1600.1,entertainment
2024-10-30,IEHJ82591989903873,891.06,utilities
2024-09-01,RKIU42712082882559,311.86,insurance
2024-01-27,ADZS08323968813411,1434.93,home_improvement
2024-03-12,XMUS39087972090991,1048.01,entertainment
2024-10-08,TMLY71000160534199,1039.35,utilities
2024-01-15,CHFF70462294350701,217.81,utilities
2024-01-08,MVSO26909998966610,1844.16,misc
2024-09-28,ILDH73971369440719,1783.82,transportation
2024-03-14,IXLZ45869946086037,479.31,travel
2024-05-01,HOHP31450277402011,1753.21,groceries
2024-01-03,VYNN51863643670476,1974.69,utilities
2024-02-09,DRJW17680148119235,54.61,dining
2024-02-28,WHMM83548739987364,845.76,utilities
2024-04-13,UJXJ35268195669358,426.3,entertainment
2024-10-06,WZPC35400501325169,1512.28,home_improvement
2024-06-18,TRLM22279055835896,1329.13,shopping
2024-11-07,ZKDO62913072748981,171.8,health_and_fitness
2024-11-12,BGPV26451856308788,1283.69,travel
2023-12-30,CAGA56077303614078,1871.27,home_improvement
2024-05-11,EMRY83650526638461,105.44,entertainment
2024-01-29,BOWG82198726455127,666.56,subscriptions
2024-05-01,VPYG37914362918842,1550.69,subscriptions
2024-11-18,WMPJ79833227742690,858.7,misc
2024-09-05,OFGC89508628789442,1615.51,education
2024-10-13,SLFH73335420457806,58.63,health_and_fitness
2024-04-24,GCSI06669585841758,1904.47,travel
2024-03-23,XVCK34631790468686,884.24,home_improvement
2024-07-08,JBFI85368156755911,1706.08,subscriptions
2024-09-04,ININ78542850322911,1776.17,business
2024-05-21,WROL27491991704193,1087.93,utilities
2024-11-14,QFNB61558754349204,1823.78,subscriptions
2024-04-23,IAWV00204644255234,1061.43,groceries
2024-11-06,RSHG31593836007158,1076.16,entertainment
2024-03-16,VEJI57869745299527,988.67,misc
2024-07-05,UFLL09181741343486,1042.19,groceries
2023-12-25,IIPU79843429530377,365.61,insurance
2024-10-04,DLMA27373533083177,1122.14,dining
2024-11-01,TTXR25078355869576,1247.34,entertainment
2024-01-07,GVWA95927149765289,1624.91,home_improvement
2024-09-26,YNPT40209137108986,1160.05,transportation
2024-12-05,EQMP31365106974340,1430.14,insurance
2024-05-29,REZI27231270394184,1643.1,dining
2024-05-28,SPNP45095378486985,1552.74,business
2024-06-15,TZDL93068259993910,1521.12,utilities
2024-05-14,FBDU68484327277708,612.43,groceries
2024-09-13,AFDM10828509743765,1515.03,business
2023-12-25,SPRC68218650009790,54.1,entertainment
2024-08-01,QLVX83515430130338,96.72,business
2024-11-30,LQXD90386569488444,533.72,business
2024-05-24,KVUC24485519033259,1751.57,shopping
2024-07-12,XVST53516012067176,1350.54,subscriptions
